dataset,class_name,prompt,content,sentence_count
CUB,black footed albatross,"Use 10 sentences to describe the what the black footed albatross looks like:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The Black-footed Albatross is a large seabird with a striking, predominantly dark appearance.</sentence>
<sentence>Its plumage is a uniform dark brown or sooty black, from its head to its tail.</sentence>
<sentence>Even its bill is dark, typically black or dark gray, adding to its overall somber coloration.</sentence>
<sentence>A distinguishing feature is its namesake feature: its feet are black, with webbing that is also black.</sentence>
<sentence>The bird possesses a robust build, suited for its long-distance oceanic lifestyle.</sentence>
<sentence>Its wings are exceptionally long and narrow, designed for efficient gliding over vast expanses of water.</sentence>
<sentence>When in flight, its silhouette is often described as hawk-like, due to these impressive wingspans.</sentence>
<sentence>Adults have a distinctively paler area around their eyes, giving them a somewhat masked appearance.</sentence>
<sentence>Juveniles are similar in coloration to adults, but may show slightly lighter underwings.</sentence>
<sentence>Their overall size and dark coloring make them easily identifiable among other seabirds when seen at sea.</sentence>",10
CUB,black footed albatross,"Use 10 sentences to describe the the appearance of the black footed albatross:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The black-footed albatross is a large, dark seabird, easily recognizable by its overall sooty-brown plumage.</sentence>
<sentence>Both its upperparts and underparts are a uniform dark color, obscuring subtle variations in shade.</sentence>
<sentence>Its wings are long and narrow, characteristic of albatrosses, and share the same dark coloration as its body.</sentence>
<sentence>The albatross possesses a conspicuously thick, dark bill, often appearing black or horn-colored.</sentence>
<sentence>A distinguishing feature, besides its name, are its feet which are entirely black, from talons to webbing.</sentence>
<sentence>Juveniles share the same dark overall appearance as adults but may exhibit slightly paler markings.</sentence>
<sentence>Their eyes are dark and beady, set against their dark head, giving them a somewhat intense gaze.</sentence>
<sentence>The bird's body is robust and streamlined, built for efficient flight over vast oceanic distances.</sentence>
<sentence>When in flight, the sheer size and dark silhouette of the black-footed albatross are impressive.</sentence>
<sentence>There is little sexual dimorphism in appearance, meaning males and females look very similar.</sentence>",10
CUB,black footed albatross,"Use 10 sentences to describe the the color of the black footed albatross:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The plumage of the black-footed albatross is a deep, rich, and uniform shade of dark brown.</sentence>
<sentence>This dark coloration extends over its entire body, from its head to its tail.</sentence>
<sentence>The wings, when folded, appear as elongated extensions of this same somber hue.</sentence>
<sentence>Even its underparts are as dark as its back and sides, lacking any significant lighter markings.</sentence>
<sentence>The only slight variation might be a subtle greying or fading with age and wear on especially old individuals.</sentence>
<sentence>This consistent darkness provides excellent camouflage against the open ocean and night sky.</sentence>
<sentence>The monochromatic appearance is a defining characteristic of this species.</sentence>
<sentence>The term ""black-footed"" refers to its feet, which are also dark, reinforcing the overall dusky coloration.</sentence>
<sentence>There are no stark contrasts or bold patterns anywhere on its body, just an unbroken expanse of dark color.</sentence>
<sentence>This unified, deep brown, almost black, appearance is the hallmark of the black-footed albatross.</sentence>",10
CUB,black footed albatross,"Use 10 sentences to describe the the pattern of the black footed albatross:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The black-footed albatross exhibits a predominantly dark plumage.</sentence>
<sentence>Its body, wings, and tail are a uniform sooty brown to black.</sentence>
<sentence>However, a distinctive feature is the paler, often mottled, underside of its wings.</sentence>
<sentence>This lighter coloration is more apparent during flight when the wings are spread.</sentence>
<sentence>The head is typically the same dark color as the body, offering little contrast.</sentence>
<sentence>A subtle mottling can sometimes be observed on the face, particularly around the eyes.</sentence>
<sentence>Juvenile birds may appear slightly paler than adults, but still retain the dark base coloration.</sentence>
<sentence>The feet, as their name suggests, are black, providing a uniform dark appearance from head to toe.</sentence>
<sentence>Their beak is large and hooked, typically horn-colored with a dark tip.</sentence>
<sentence>Overall, the black-footed albatross is a master of camouflage against the vast, dark ocean expanse.</sentence>",10
CUB,black footed albatross,"Use 10 sentences to describe the the shape of the black footed albatross:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The black-footed albatross possesses a remarkably streamlined and aerodynamic body, perfectly adapted for long-distance flight.</sentence>
<sentence>Its overall form is avian, characterized by the typical bird silhouette of a head, trunk, and wings.</sentence>
<sentence>The wings are the most striking feature, being long, narrow, and somewhat pointed at the tips, allowing for efficient gliding.</sentence>
<sentence>When at rest, these wings fold neatly along its body.</sentence>
<sentence>The body itself is relatively robust and torpedo-shaped, providing a stable platform for its expansive wingspan.</sentence>
<sentence>Its neck is short and thick, connecting a moderately sized head to the powerful torso.</sentence>
<sentence>The legs are short and set far back on the body, which can make terrestrial movement somewhat awkward but is advantageous for swimming.</sentence>
<sentence>The tail is short and rounded, acting as a rudder to aid in steering during flight.</sentence>
<sentence>While not as distinctly shaped as some seabirds, its overall build is that of a master of the open ocean, built for endurance and speed.</sentence>
<sentence>The uniform dark plumage further contributes to its sleek, unbroken silhouette against the sky and sea.</sentence>",10
CUB,laysan albatross,"Use 10 sentences to describe the what the laysan albatross looks like:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The Laysan Albatross is a large seabird, instantly recognizable by its graceful appearance.</sentence>
<sentence>Its most striking feature is its pure white plumage, covering its head, neck, and entire underside.</sentence>
<sentence>The upperparts, including its back and wings, are a contrasting dark greyish-brown.</sentence>
<sentence>Its wings are long, narrow, and pointed, perfectly adapted for soaring over vast ocean expanses.</sentence>
<sentence>When in flight, the Laysan Albatross displays a wingspan that can reach up to 2.2 meters.</sentence>
<sentence>Its beak is a distinctive pale flesh color, tipped with a prominent dark hook, which is essential for catching prey.</sentence>
<sentence>The bird possesses relatively large, dark eyes that stand out against its white facial feathers.</sentence>
<sentence>Its legs and webbed feet are also a flesh-pinkish hue, typically tucked beneath its body during flight.</sentence>
<sentence>Juvenile Laysan Albatrosses are similar to adults but may have a slightly less pronounced dark wing coloration.</sentence>
<sentence>Overall, its elegant silhouette and contrasting coloration make the Laysan Albatross a truly magnificent avian species.</sentence>",10
CUB,laysan albatross,"Use 10 sentences to describe the the appearance of the laysan albatross:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The Laysan albatross is a magnificent seabird with a striking appearance.</sentence>
<sentence>Its back and wings are a deep, sooty brown, creating a stark contrast with its bright white underside.</sentence>
<sentence>The head and neck are predominantly white, often with a delicate, almost pearly sheen.</sentence>
<sentence>A distinctive feature is its large, dark eyes, which are framed by dark eye patches, giving it a somewhat soulful expression.</sentence>
<sentence>The bill is large and robust, typically a pale yellowish-horn color with a prominent dark tip.</sentence>
<sentence>Its long, narrow wings span an impressive width, enabling effortless gliding over vast ocean expanses.</sentence>
<sentence>When in flight, the albatross appears elegant and graceful, its wings held stiffly as it soars on the wind.</sentence>
<sentence>Its legs and feet are relatively short and are a pale pinkish-grey.</sentence>
<sentence>Adults possess a mature plumage that is consistent and recognizable.</sentence>
<sentence>Young albatrosses, or chicks, are covered in fluffy grey down before developing their adult feathers.</sentence>",10
CUB,laysan albatross,"Use 10 sentences to describe the the color of the laysan albatross:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The Laysan Albatross displays a predominantly white plumage that creates a striking contrast against the ocean's depths.</sentence>
<sentence>Its back and wings are a soft, dove-grey, reminiscent of a cloudy sky.</sentence>
<sentence>These grey feathers often appear darker during flight, particularly on the upper surfaces.</sentence>
<sentence>A defining characteristic is the creamy white underside of its wings, which catches the sunlight as it soars.</sentence>
<sentence>The head is a pristine white, appearing almost luminous against its darker back.</sentence>
<sentence>A subtle pinkish or yellowish hue can sometimes be observed on its legs and feet.</sentence>
<sentence>Its large, dark eyes are framed by white feathers, giving it a somewhat innocent and intelligent expression.</sentence>
<sentence>The beak is typically a pale yellow or greenish-yellow, adding a delicate touch to its facial features.</sentence>
<sentence>When viewed from below, the albatross appears as a bright white shape against the blue expanse.</sentence>
<sentence>Overall, the Laysan Albatross presents a graceful and elegant palette of whites and greys, perfectly suited for its pelagic lifestyle.</sentence>",10
CUB,laysan albatross,"Use 10 sentences to describe the the pattern of the laysan albatross:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The Laysan albatross exhibits a remarkable migratory pattern, traveling vast distances across the Pacific Ocean.</sentence>
<sentence>These ocean wanderers spend most of their lives at sea, often covering thousands of miles in search of food.</sentence>
<sentence>Their breeding colonies are primarily located on low-lying islands in the Northwestern Hawaiian Islands, such as Laysan itself.</sentence>
<sentence>During the non-breeding season, they disperse widely, with many individuals foraging in the rich waters off Japan and Alaska.</sentence>
<sentence>The birds navigate using a combination of cues, likely including the Earth's magnetic field and olfactory signals.</sentence>
<sentence>Their foraging trips can be extended, lasting for days or even weeks as they follow productive oceanic currents.</sentence>
<sentence>Upon returning to their breeding colonies, they engage in elaborate courtship rituals and nest building.</sentence>
<sentence>The albatrosses are site-faithful, meaning they return to the same nesting areas year after year, and often to the same mates.</sentence>
<sentence>The pattern of their movements is closely tied to the availability of prey, such as squid and fish, which are found in specific oceanographic zones.</sentence>
<sentence>This precise and predictable pattern is crucial for their survival and reproductive success, demonstrating an incredible adaptation to their oceanic environment.</sentence>",10
CUB,laysan albatross,"Use 10 sentences to describe the the shape of the laysan albatross:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The Laysan albatross possesses a graceful, aerodynamic body shape optimized for long-distance flight.</sentence>
<sentence>Its form is characterized by long, narrow wings that extend outward, giving it a wide wingspan.</sentence>
<sentence>The body itself is relatively compact and somewhat flattened, reducing drag in the air.</sentence>
<sentence>A noticeable feature is its stout, columnar neck which supports a relatively large head.</sentence>
<sentence>The beak is strong and hooked, a characteristic tool for its marine lifestyle.</sentence>
<sentence>Its legs are set far back on its body, making it somewhat awkward and waddling on land.</sentence>
<sentence>This leg placement is advantageous for efficient take-off and landing at sea.</sentence>
<sentence>The tail is short and somewhat wedge-shaped, aiding in steering and stability during flight.</sentence>
<sentence>Overall, the Laysan albatross presents a streamlined silhouette, a testament to its mastery of the air.</sentence>
<sentence>Its proportions are finely tuned for the demanding aerial existence of a seabird.</sentence>",10
