dataset,class_name,prompt,content,sentence_count
CUB,black footed albatross,"Use 10 sentences to describe the what the black footed albatross looks like:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The black-footed albatross is a striking seabird with a predominantly dark plumage.</sentence>
<sentence>Its body, wings, and tail are a deep brownish-black, giving it a shadowy appearance against the ocean's surface.</sentence>
<sentence>A distinguishing feature is its black feet and legs, which are webbed and substantial.</sentence>
<sentence>The bird possesses a robust, slightly hooked bill that is typically dark in color.</sentence>
<sentence>Its head is also dark, often appearing almost uniformly black like the rest of its body.</sentence>
<sentence>In contrast to its dark overall coloring, some individuals may exhibit lighter patches around the face or underwing, though these are subtle.</sentence>
<sentence>The wingspan of the black-footed albatross is impressive, allowing for effortless gliding over long distances.</sentence>
<sentence>When in flight against the sky, its silhouette is easily recognizable by its long, narrow wings and dark coloration.</sentence>
<sentence>Younger birds are often darker than adults, sometimes appearing almost entirely black.</sentence>
<sentence>Overall, the black-footed albatross presents a silhouette of dark elegance and power against the vast expanse of the ocean.</sentence>",10
CUB,black footed albatross,"Use 10 sentences to describe the the appearance of the black footed albatross:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The black-footed albatross is a medium-sized seabird with a predominantly dark plumage.</sentence>
<sentence>Its body, wings, and tail are a uniform sooty brown or blackish-brown, giving it its distinctive name.</sentence>
<sentence>In contrast to its dark body, the albatross possesses pale yellowish feet, which are indeed black beneath the webbing.</sentence>
<sentence>The bill is large and robust, typically a pale horn color with a dark tip.</sentence>
<sentence>Adults have a slightly paler head compared to their body, often appearing more grayish.</sentence>
<sentence>Younger birds are generally darker overall, with less distinction between head and body coloration.</sentence>
<sentence>Their wings are long and narrow, perfectly adapted for gliding over oceanic expanses.</sentence>
<sentence>While the dark coloration provides excellent camouflage against the dark ocean waters, their pale feet can be a striking visual against the sea.</sentence>
<sentence>They have a somewhat hooked beak, a characteristic of many seabirds for grasping prey.</sentence>
<sentence>The overall impression is one of streamlined power and adaptation to a life at sea.</sentence>",10
CUB,black footed albatross,"Use 10 sentences to describe the the color of the black footed albatross:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The black-footed albatross presents a predominantly dark and somber plumage.</sentence>
<sentence>Its body feathers are a rich, deep brown, often appearing almost black in certain lighting conditions.</sentence>
<sentence>The wings are the same dark shade, providing a striking contrast against the sky during flight.</sentence>
<sentence>However, a subtle variation exists: the tips of the primary feathers can sometimes appear slightly lighter, offering a delicate gradient.</sentence>
<sentence>The head is also uniformly dark, blending seamlessly with the rest of its body.</sentence>
<sentence>Even the bill and feet, characteristic of its name, are a dark, dusky hue.</sentence>
<sentence>There are no significant patches of white or lighter coloration to break the overall dark impression.</sentence>
<sentence>This deep coloration provides excellent camouflage against the vast, dark ocean surface.</sentence>
<sentence>When seen in bright sunlight, the brown undertones become more apparent, revealing a less absolute black than might be initially perceived.</sentence>
<sentence>Thus, the black-footed albatross is a master of monochrome, its entire being enveloped in shades of deep brown and black.</sentence>",10
CUB,black footed albatross,"Use 10 sentences to describe the the pattern of the black footed albatross:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The black-footed albatross displays a remarkably consistent, dark plumage across its body.</sentence>
<sentence>Its entire body, from head to tail, is a uniform sooty brown or blackish-brown.</sentence>
<sentence>This dark coloration extends to its wings, which are also predominantly black.</sentence>
<sentence>Even its legs and feet, from which it derives its name, are typically dark gray or black.</sentence>
<sentence>Young black-footed albatrosses are born with a fluffy gray down that eventually darkens to their adult plumage.</sentence>
<sentence>The only subtle contrast might be found in the paler brownish margins of their wing feathers, noticeable in certain light.</sentence>
<sentence>Their bill is also dark, usually black or horn-colored, blending seamlessly with their facial features.</sentence>
<sentence>Unlike some other seabirds, there are no distinct white patches or markings on their underside or head.</sentence>
<sentence>This uniform dark appearance serves as excellent camouflage against the open ocean and dark skies.</sentence>
<sentence>Their overall pattern is one of a sleek, dark silhouette against the vast expanse of the sea.</sentence>",10
CUB,black footed albatross,"Use 10 sentences to describe the the shape of the black footed albatross:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The black-footed albatross possesses a remarkably streamlined and aerodynamic body, built for efficient flight.</sentence>
<sentence>Its overall form is elongated, tapering towards both the head and the tail.</sentence>
<sentence>The most striking feature is its immense wingspan, which appears disproportionately large compared to its body.</sentence>
<sentence>These wings are long, narrow, and somewhat pointed, designed for soaring long distances over the ocean.</sentence>
<sentence>The albatross has a relatively small, wedge-shaped head that smoothly integrates into its neck.</sentence>
<sentence>Its body is plump and somewhat torpedo-shaped, providing stability in the air.</sentence>
<sentence>The tail is short and squared off, lacking the prominent forked shape seen in some other seabirds.</sentence>
<sentence>Its legs are short and set far back on its body, which is typical for seabirds that spend most of their lives at sea.</sentence>
<sentence>When at rest, its posture is often upright, giving it a somewhat stately appearance.</sentence>
<sentence>In flight, the bird appears as a broad, dark silhouette with incredibly long, sweeping wings that often remain held straight and stiff.</sentence>",10
CUB,laysan albatross,"Use 10 sentences to describe the what the laysan albatross looks like:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The Laysan Albatross is a striking seabird with a generally elegant appearance.</sentence>
<sentence>Its plumage is predominantly a clean, bright white on its underside, covering its belly and chest.</sentence>
<sentence>The upperparts, including its back and wings, are a soft dove gray.</sentence>
<sentence>A distinctive feature is its dark gray wings, which are quite long and slender, ideal for gliding over vast ocean expanses.</sentence>
<sentence>Its tail is relatively short and squared off.</sentence>
<sentence>The head is primarily white, but it possesses a noticeable dark smudge or mask around its eyes.</sentence>
<sentence>Its beak is a prominent feature, being stout and yellowish-orange in color.</sentence>
<sentence>The legs and feet are typically pinkish or pale gray.</sentence>
<sentence>Adults are medium-sized for albatrosses, generally measuring around 30-35 inches in length with a wingspan of about 70-80 inches.</sentence>
<sentence>The overall impression is one of grace and efficiency as they patrol the ocean skies.</sentence>",10
CUB,laysan albatross,"Use 10 sentences to describe the the appearance of the laysan albatross:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The Laysan Albatross is a large seabird, recognizable by its striking white and dark plumage.</sentence>
<sentence>Its body is primarily a pristine white, particularly on its underside and neck.</sentence>
<sentence>Contrastingly, its upperparts, including its back and wings, are a deep, dusky gray to dark brown.</sentence>
<sentence>The wings themselves are long and slender, designed for effortless long-distance gliding over the ocean.</sentence>
<sentence>A distinctive feature is the dark ""mask"" that extends from the base of the bill, encircling the eye.</sentence>
<sentence>Its bill is stout and possesses a prominent, hooked tip, typically a pale horn color.</sentence>
<sentence>When standing, it has a somewhat upright posture on its stout legs.</sentence>
<sentence>Juveniles often have a slightly more mottled appearance with grayish tips on their feathers.</sentence>
<sentence>Adults can reach a considerable wingspan, making them an impressive sight in flight.</sentence>
<sentence>Their overall appearance is one of elegance and adaptation to a life at sea.</sentence>",10
CUB,laysan albatross,"Use 10 sentences to describe the the color of the laysan albatross:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The Laysan albatross exhibits a strikingly elegant and characteristic coloration.</sentence>
<sentence>Its upperparts, including the back and wings, are a soft, dusky brown, providing a subtle contrast to lighter areas.</sentence>
<sentence>The head and neck are predominantly a creamy white, often with a delicate wash of pale grey.</sentence>
<sentence>A distinctive feature is the dark lores, a patch of feathers between the eye and the bill, which appear as a small, dark smudge.</sentence>
<sentence>The underparts, from the breast to the belly, are a pristine white, contributing to its overall bright appearance in flight.</sentence>
<sentence>Beneath the wings, the primary and secondary feathers are a deep, slate grey, creating a stark, dark band against the white belly.</sentence>
<sentence>The tail feathers are typically a dark grey to brownish-black, tapering to a point.</sentence>
<sentence>Its beak is a pale yellow, often tipped with a darker shade, offering a subtle, yet important, visual detail.</sentence>
<sentence>The legs and feet are a pale pinkish-grey, largely hidden when the bird is in its characteristic gliding posture.</sentence>
<sentence>This combination of muted browns, crisp whites, and dark wing accents creates a beautifully understated yet captivating plumage.</sentence>",10
CUB,laysan albatross,"Use 10 sentences to describe the the pattern of the laysan albatross:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>Laysan albatrosses exhibit a highly predictable annual pattern tied to their breeding cycle.</sentence>
<sentence>These magnificent seabirds spend the majority of their lives at sea, covering vast ocean distances.</sentence>
<sentence>Their terrestrial presence is primarily for breeding, with both males and females returning to specific islands.</sentence>
<sentence>The breeding grounds, often remote and protected, become teeming with activity during certain months.</sentence>
<sentence>During the non-breeding season, they embark on extensive foraging trips across the Pacific Ocean.</sentence>
<sentence>After mating, the female lays a single egg, which is then incubated by both parents.</sentence>
<sentence>Parents alternate incubation duties and foraging trips, a cooperative effort to sustain the chick.</sentence>
<sentence>Once the chick hatches, both adults are heavily involved in feeding and protecting it.</sentence>
<sentence>Young albatrosses eventually fledge, leaving the nest to return to the sea and continue their pelagic existence.</sentence>
<sentence>This cycle of oceanic foraging and island nesting defines the remarkable life pattern of the Laysan albatross.</sentence>",10
CUB,laysan albatross,"Use 10 sentences to describe the the shape of the laysan albatross:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The Laysan albatross possesses a sleek and streamlined body shape, optimized for life in the air.</sentence>
<sentence>Its overall form is torpedo-like, tapering towards both its head and tail.</sentence>
<sentence>The most striking feature is its exceptionally long and narrow wingspan, which can reach up to two meters.</sentence>
<sentence>These wings are held stiffly during flight, with only slight adjustments for steering and stability.</sentence>
<sentence>The albatross's body is relatively compact, housing powerful flight muscles.</sentence>
<sentence>Its head is moderate in size, with a distinctive, stout, and hooked beak, pale pinkish-yellow in color.</sentence>
<sentence>The tail is short and wedge-shaped, contributing to its aerodynamic profile.</sentence>
<sentence>When resting on land, its posture is somewhat ungainly, with its body held horizontally.</sentence>
<sentence>However, in the water, it appears more buoyant and less rigid than on land.</sentence>
<sentence>The combination of its long wings and compact body allows for effortless gliding over vast ocean expanses.</sentence>",10
