dataset,class_name,prompt,content,sentence_count
flower,passion flower flower,"Use 10 sentences to describe the what the passion flower flower looks like:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The passion flower is a truly extraordinary botanical marvel, unlike any other bloom.</sentence>
<sentence>Its most striking feature is its complex and intricate corona, a crown of thread-like appendages.</sentence>
<sentence>These colorful filaments, radiating outwards, often display vibrant shades of purple, white, or pink.</sentence>
<sentence>At the center of this crown stand five prominent anthers, each tipped with a prominent antherode, resembling a shuttlecock.</sentence>
<sentence>Above the anthers are three distinct stigmas, creating a fascinating tiered structure.</sentence>
<sentence>Surrounding the corona are three petal-like sepals and typically five larger, often brightly colored petals.</sentence>
<sentence>These petals can range in color from pure white to deep crimson and even shades of blue.</sentence>
<sentence>The overall effect is one of an otherworldly clock face or an intricate miniature spaceship.</sentence>
<sentence>The flower's leaves are usually lobed, often resembling a hand with several pointed fingers.</sentence>
<sentence>When viewed as a whole, the passion flower presents a mesmerizing and almost alien beauty, a testament to nature's creativity.</sentence>",10
flower,passion flower flower,"Use 10 sentences to describe the the appearance of the passion flower flower:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The passion flower is a truly remarkable and intricate bloom, a testament to nature's artistry.</sentence>
<sentence>Its most striking feature is the corona, a halo of thread-like filaments radiating from the center.</sentence>
<sentence>These filaments are often vibrant in color, ranging from deep purples and reds to delicate blues and whites.</sentence>
<sentence>Nestled within the corona are the reproductive structures, prominent stamens and pistils that stand erect.</sentence>
<sentence>The petals, typically five or ten in number, form a flat or slightly cupped base for the elaborate central display.</sentence>
<sentence>These petals can vary in color, often complementing the hues of the corona, though some are a more subdued green or white.</sentence>
<sentence>The overall shape of the flower can be described as star-like or radial, drawing the eye inward.</sentence>
<sentence>Many varieties possess a subtle, yet pleasant, fragrance that adds to their allure.</sentence>
<sentence>The texture of the petals is delicate, while the corona filaments can appear almost ethereal.</sentence>
<sentence>From a distance, the passion flower presents a complex and exotic spectacle, a miniature universe of form and color.</sentence>",10
flower,passion flower flower,"Use 10 sentences to describe the the color of the passion flower flower:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The passion flower presents a vibrant and intricate tapestry of color.</sentence>
<sentence>Dominant hues often include striking purples, ranging from deep amethyst to lighter lilacs.</sentence>
<sentence>These purples are frequently complemented by vivid whites, creating a dramatic contrast.</sentence>
<sentence>Delicate shades of pink can also grace the petals, adding a softer, romantic touch.</sentence>
<sentence>Stamens and pistils, the flower's reproductive organs, often display an electrifying electric blue or a rich, dark indigo.</sentence>
<sentence>Fine, thread-like filaments can be a creamy white or a subtle pale green, adding texture and depth.</sentence>
<sentence>Some varieties boast splashes of yellow or even a faint orange, particularly towards the center of the bloom.</sentence>
<sentence>The overall effect is a complex interplay of cool and warm tones, rich and subtle shades.</sentence>
<sentence>The coloration is never monotonous, but rather a meticulously designed masterpiece.</sentence>
<sentence>Each petal and filament contributes to a breathtaking visual symphony, embodying the flower's namesake passion.</sentence>",10
flower,passion flower flower,"Use 10 sentences to describe the the pattern of the passion flower flower:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The passion flower's bloom is a marvel of intricate geometry and vibrant color.</sentence>
<sentence>At its core sits a prominent corona of thread-like filaments, radiating outwards.</sentence>
<sentence>These filaments are often brightly colored, displaying shades of purple, pink, or white.</sentence>
<sentence>Above the corona, five petals unfurl, typically a softer hue or a contrasting shade.</sentence>
<sentence>Nestled behind the petals are five sepals, providing a base structure and often mirroring the petal's color.</sentence>
<sentence>The reproductive structures, the stamens and pistils, are fused together in a central column, a striking feature.</sentence>
<sentence>The stigmas, the receptive tips of the pistils, usually point upwards like tiny fingers.</sentence>
<sentence>The anthers, containing pollen, are often visible beneath the stigmas, sometimes tipped with a distinct color.</sentence>
<sentence>This symmetrical arrangement, with its layered components and radial symmetry, creates a captivating and complex design.</sentence>
<sentence>The overall impression is one of organized chaos, a testament to nature's artistic prowess.</sentence>",10
flower,passion flower flower,"Use 10 sentences to describe the the shape of the passion flower flower:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The passion flower boasts an intricate and exotic silhouette that defies simple description.</sentence>
<sentence>At its core lies a prominent, raised reproductive structure, often referred to as the corona.</sentence>
<sentence>Radiating outwards from this central hub are numerous filamentous appendages, creating a fringed effect.</sentence>
<sentence>These filaments are typically arranged in multiple layers, adding to the flower's complexity.</sentence>
<sentence>Above the filaments, five conspicuous petals unfurl, forming the outer rim of the bloom.</sentence>
<sentence>Interspersed with the petals are five petal-like sepals, often of a similar size and color.</sentence>
<sentence>The overall impression is one of a radial symmetry, with distinct parts arranged around a central axis.</sentence>
<sentence>Some varieties exhibit a saucer-like or dish-like overall form when viewed from above.</sentence>
<sentence>The combination of intricate structures and layered petals creates a three-dimensional, almost sculptural appearance.</sentence>
<sentence>It's a shape that evokes a sense of wonder, like a celestial clock or an alien blossom.</sentence>",10
flower,water lily flower,"Use 10 sentences to describe the what the water lily flower looks like:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The water lily flower boasts a unique structure, typically appearing with several layers of petals.</sentence>
<sentence>Its most common coloration ranges from pristine white to soft shades of pink and vibrant yellow.</sentence>
<sentence>The petals are often ovate or spoon-shaped, with smooth, waxy surfaces.</sentence>
<sentence>At the center of the bloom, a prominent cluster of yellow stamens stands out, resembling a golden crown.</sentence>
<sentence>These stamens produce a subtle, sweet fragrance that attracts pollinators.</sentence>
<sentence>The outer sepals, usually green, provide a protective base for the delicate petals.</sentence>
<sentence>The overall form can be quite substantial, with some varieties opening to a diameter of over a foot.</sentence>
<sentence>Many water lily petals have a slightly cupped shape, creating a bowl-like appearance.</sentence>
<sentence>When closed at night, the flower forms a more compact bud, often surrounded by its protective sepals.</sentence>
<sentence>The sheer beauty of the water lily is in its elegant simplicity and serene presence upon the water's surface.</sentence>",10
flower,water lily flower,"Use 10 sentences to describe the the appearance of the water lily flower:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The water lily flower typically unfurls with a serene, cup-shaped blossom.</sentence>
<sentence>Its petals, often numerous and arranged in layers, can range in color from pristine white to soft pinks and vibrant yellows.</sentence>
<sentence>The outer petals tend to be broader and more rounded, gradually becoming narrower and more pointed towards the center.</sentence>
<sentence>At the heart of the flower lies a cluster of delicate stamens, often a contrasting golden-yellow, dusted with pollen.</sentence>
<sentence>These stamens surround a central pistil, which may be a lighter shade and adds to the flower's intricate beauty.</sentence>
<sentence>The texture of the petals is often smooth and waxy, giving them a luminous sheen.</sentence>
<sentence>When fully open, the flower can spread several inches across, a striking visual against the aquatic backdrop.</sentence>
<sentence>Some varieties possess a subtle, sweet fragrance that wafts gently on the breeze.</sentence>
<sentence>The leaves of the water lily, large and round with a notched edge, often float serenely around the bloom.</sentence>
<sentence>The overall impression is one of delicate elegance and tranquil beauty, a jewel on the water's surface.</sentence>",10
flower,water lily flower,"Use 10 sentences to describe the the color of the water lily flower:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The water lily flower often boasts a pristine white hue, reminiscent of fresh snow.</sentence>
<sentence>Some varieties display delicate shades of pale pink, like a soft blush on a petal.</sentence>
<sentence>Vibrant yellow water lilies radiate the cheerful warmth of a summer sun.</sentence>
<sentence>Deep crimson and rich burgundy petals offer a touch of opulent drama to the water's surface.</sentence>
<sentence>Subtle lavender and soft violet tints can also be found, adding a touch of ethereal beauty.</sentence>
<sentence>The intensity of the color can vary, from a translucent whisper to a bold, saturated statement.</sentence>
<sentence>Often, the undersides of the petals are a slightly paler or different shade than the top.</sentence>
<sentence>Sunlight plays upon the petals, sometimes giving them a pearlescent sheen.</sentence>
<sentence>The color is typically uniform across each petal, creating a harmonious visual effect.</sentence>
<sentence>Even the faint veins within the petals can subtly influence the perceived overall color.</sentence>",10
flower,water lily flower,"Use 10 sentences to describe the the pattern of the water lily flower:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The water lily flower typically exhibits a radial symmetry, with its petals arranged in a circular pattern around a central core.</sentence>
<sentence>Often, the petals emerge in distinct whorls, with some species displaying multiple layers of overlapping floral parts.</sentence>
<sentence>These whorls can graduate in size from the outer to the inner layers, creating a sense of depth and fullness.</sentence>
<sentence>The arrangement often starts with sepals, which are typically green and leaf-like, forming the outermost protective layer.</sentence>
<sentence>Following the sepals, a series of petals, varying in color and shape, unfurl outwards.</sentence>
<sentence>The number of petals can vary significantly, from a few simple ones to a profusion that resembles a double flower.</sentence>
<sentence>At the very center, stamens, often numerous and prominent, surround the pistil.</sentence>
<sentence>The stamens themselves can contribute to the flower's pattern with their arrangement and the color of pollen they bear.</sentence>
<sentence>The overall impression is one of organized beauty, with each element precisely placed to contribute to the bloom's aesthetic.</sentence>
<sentence>This intricate yet consistent organization allows the water lily to attract pollinators effectively, showcasing its reproductive structures in a visually appealing manner.</sentence>",10
flower,water lily flower,"Use 10 sentences to describe the the shape of the water lily flower:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The water lily flower presents a symmetrical and generally disc-like form.</sentence>
<sentence>Its petals are arranged in concentric circles, radiating outwards from the center.</sentence>
<sentence>These petals are often broad and somewhat ovate, with smooth, tapering edges.</sentence>
<sentence>In many varieties, the petals are densely packed, creating a full and layered appearance.</sentence>
<sentence>The outermost petals are typically larger and more open, while those closer to the center become progressively smaller and more tightly clustered.</sentence>
<sentence>The flower's center often reveals a prominent pistil and stamens, adding a distinct focal point.</sentence>
<sentence>While typically rounded, some water lily petals can possess a slight curl or recurve, adding subtle dimension.</sentence>
<sentence>The overall silhouette is often flat or slightly domed, resting gracefully on the water's surface.</sentence>
<sentence>The shape is robust and sturdy, able to withstand gentle breezes and water movement.</sentence>
<sentence>This elegant, star-like or cup-like geometry is a hallmark of the water lily's botanical beauty.</sentence>",10
