dataset,class_name,prompt,content,sentence_count
food,apple pie,"Use 10 sentences to describe the what the apple pie looks like:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The apple pie sat on a rustic wooden board, exuding a comforting aroma.</sentence>
<sentence>Its crust was a beautiful golden-brown, perfectly baked to a crisp.</sentence>
<sentence>A lattice of pastry strips crisscrossed the top, revealing glimpses of the sweet filling beneath.</sentence>
<sentence>These strips were delicately woven, showcasing the baker's skill.</sentence>
<sentence>The edges of the crust were crimped, creating a charming, hand-made appearance.</sentence>
<sentence>Tiny bubbles had formed on the surface of the crust during baking, adding to its tempting texture.</sentence>
<sentence>A faint sheen, likely from an egg wash, gave the crust a subtle glow.</sentence>
<sentence>Through the openings, the cooked apples appeared soft and slightly caramelized.</sentence>
<sentence>Some apples showed hints of redness, suggesting a mix of varieties was used.</sentence>
<sentence>A dusting of cinnamon and sugar had settled in the crevices, promising a flavorful first bite.</sentence>",10
food,apple pie,"Use 10 sentences to describe the the appearance of the apple pie:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The apple pie rested regally on the cooling rack, a golden masterpiece waiting to be savored.</sentence>
<sentence>Its crust, a rich, buttery blonde, was intricately crimped around the edges, hinting at a flaky promise.</sentence>
<sentence>Tiny vents, artfully cut into the top crust, allowed tantalizing wisps of warm, spiced steam to escape.</sentence>
<sentence>Through these openings, glimpses of the bubbling apple filling could be seen, a deep, caramelized amber.</sentence>
<sentence>The surface of the crust bore the subtle sheen of melted butter, catching the light with a gentle glow.</sentence>
<sentence>Occasionally, a stray, darkened piece of apple peeked through, a testament to the fruits' sweet surrender.</sentence>
<sentence>The overall shape was a perfect, rounded circle, substantial and inviting in its rustic perfection.</sentence>
<sentence>A faint dusting of sugar crystals clung to the peaks and valleys of the lattice, adding a delicate sparkle.</sentence>
<sentence>The aroma emanating from it was a comforting symphony of cinnamon, nutmeg, and baked apples.</sentence>
<sentence>It was a vision of pure, unadulterated dessert bliss, both visually and olfactorily stunning.</sentence>",10
food,apple pie,"Use 10 sentences to describe the the color of the apple pie:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The apple pie boasts a golden-brown crust, reminiscent of autumn sunlight.</sentence>
<sentence>Its surface shimmers with a delightful, slightly caramelized hue.</sentence>
<sentence>The flaky pastry edges are a deeper, richer shade of toasted amber.</sentence>
<sentence>Beneath the latticework, glimpses of the cooked apple filling reveal warm, muted shades of russet and cinnamon.</sentence>
<sentence>Some areas of the crust might be slightly darker, hinting at that perfectly baked crispiness.</sentence>
<sentence>The overall impression is one of comforting warmth and inviting sweetness.</sentence>
<sentence>Tiny flecks of spices, like cinnamon and nutmeg, contribute subtle reddish-brown undertones to the crust.</sentence>
<sentence>The cooked apples themselves offer a softer, apple-cider-like color peeking through the golden lattice.</sentence>
<sentence>It's a palette that evokes feelings of home, tradition, and delicious indulgence.</sentence>
<sentence>The color is appetizingly complex, a symphony of baked sugar and fruit.</sentence>",10
food,apple pie,"Use 10 sentences to describe the the pattern of the apple pie:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The star of the show is the flaky, golden-brown crust, meticulously crimped around the edges.</sentence>
<sentence>Within this buttery embrace lies a generous filling of tart apples, their vibrant hues peeking through.</sentence>
<sentence>A decorative lattice work of dough, artfully woven, forms a beautiful crisscross pattern across the top.</sentence>
<sentence>Each strip of the lattice is precisely placed, creating even squares and rectangles.</sentence>
<sentence>The baked dough exhibits a delightful contrast of textures, from slightly crisp edges to a softer, yielding center.</sentence>
<sentence>Tiny vents are strategically cut into the lattice, allowing steam to escape during baking and preventing a soggy bottom.</sentence>
<sentence>The overall visual appeal is one of rustic elegance, a testament to careful preparation.</sentence>
<sentence>A scattering of coarse sugar crystals might adorn the lattice, adding a subtle sparkle and crunch.</sentence>
<sentence>The aroma emanating from the pie suggests a warm and comforting scent of cinnamon and baked fruit.</sentence>
<sentence>The pie's surface, when viewed from above, presents a pleasing geometric design, both satisfying and inviting.</sentence>",10
food,apple pie,"Use 10 sentences to describe the the shape of the apple pie:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The apple pie presents a glorious, inviting circular form.</sentence>
<sentence>Its outer crust creates a sturdy, golden-brown perimeter.</sentence>
<sentence>The top crust, often latticed or fully covered, offers a pleasing textural contrast.</sentence>
<sentence>Within this pastry enclosure, the filling is a delightful, slightly irregular mound.</sentence>
<sentence>The edges are typically crimped or fluted, adding a decorative touch to the circumference.</sentence>
<sentence>When viewed from above, it appears as a substantial, edible disc.</sentence>
<sentence>Slices are wedges radiating from the center, revealing the layered construction.</sentence>
<sentence>The overall impression is one of comforting, homey roundness.</sentence>
<sentence>Even the imperfections in the crust contribute to its organic, natural shape.</sentence>
<sentence>It is a classic, universally recognized shape of baked goodness.</sentence>",10
food,baby back ribs,"Use 10 sentences to describe the what the baby back ribs looks like:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>Baby back ribs, when cooked to perfection, gleam with a rich, mahogany hue.</sentence>
<sentence>A glistening, caramelized sauce often coats their surface, hinting at sweet and savory flavors.</sentence>
<sentence>The meat itself appears tender and yielding, promising to pull away easily from the bone.</sentence>
<sentence>Edges of the ribs might be slightly charred, offering a delightful crispiness.</sentence>
<sentence>Each rib showcases a distinct curve, following its natural bone structure.</sentence>
<sentence>Visible layers of succulent meat are often present atop the bone.</sentence>
<sentence>Sometimes, a smoky bark, a darker, slightly crusted exterior, adorns the ribs.</sentence>
<sentence>The bones, clean and ivory-white, peek through where the meat has receded slightly.</sentence>
<sentence>A slight sheen of rendered fat adds a tempting richness to their appearance.</sentence>
<sentence>Overall, they present a rustic yet incredibly appetizing visual, a testament to slow cooking and delicious seasoning.</sentence>",10
food,baby back ribs,"Use 10 sentences to describe the the appearance of the baby back ribs:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The baby back ribs glistened under the ambient light, their surface a mosaic of deep mahogany and rich caramel hues.</sentence>
<sentence>Each rib was distinctly separated, showcasing a beautiful, even char along the edges that promised a satisfying crunch.</sentence>
<sentence>A delicate sheen of rendered fat, promising succulence, caught the light and added to their irresistible allure.</sentence>
<sentence>The meat itself, peeking through where the bone emerged, displayed a tender, slightly pink interior, a testament to careful cooking.</sentence>
<sentence>A subtle, yet enticing, glaze clung to the surface, creating a sticky, caramelized layer that hinted at sweet and savory notes.</sentence>
<sentence>Some areas showed a darker, almost black crust, indicating a well-developed bark that would provide a delightful textural contrast.</sentence>
<sentence>The curved shape of the bones was elegantly defined, suggesting the natural, bite-sized portion of each rib.</sentence>
<sentence>Tiny flecks of seasoning, possibly paprika or black pepper, were visible against the darker meat, adding visual interest.</sentence>
<sentence>The overall impression was one of robust flavor and comforting deliciousness, almost begging to be picked up and enjoyed.</sentence>
<sentence>They lay arranged invitingly, a perfect platter of tender, succulent, and beautifully cooked baby back ribs.</sentence>",10
food,baby back ribs,"Use 10 sentences to describe the the color of the baby back ribs:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The baby back ribs presented a captivating tapestry of color.</sentence>
<sentence>A deep, rich mahogany formed the base, a testament to slow cooking and caramelization.</sentence>
<sentence>Hints of a glossy, dark cherry hue peeked through, especially where the fat had rendered and glazed.</sentence>
<sentence>Flecks of a lighter, almost burnt umber appeared along the edges, suggesting a delightful crispness.</sentence>
<sentence>Occasionally, a subtle, smoky charcoal gray could be observed, particularly in the crevices of the meat.</sentence>
<sentence>The surface shimmered under the light, reflecting the sauce that had been lovingly applied.</sentence>
<sentence>In some areas, the color was so intense it bordered on a velvety blackness.</sentence>
<sentence>Yet, beneath this dark exterior, the tender meat hinted at a softer, pinkish-brown core.</sentence>
<sentence>The interplay of these shades created an inviting and appetizing visual.</sentence>
<sentence>Ultimately, the color of the baby back ribs promised a complex and satisfying flavor experience.</sentence>",10
food,baby back ribs,"Use 10 sentences to describe the the pattern of the baby back ribs:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>The baby back ribs present a distinctly segmented pattern.</sentence>
<sentence>Each rib is a separate, curved bone, clearly delineated from its neighbors.</sentence>
<sentence>The overall shape is a gentle arc, tapering slightly towards the ends.</sentence>
<sentence>A prominent line of connective tissue often runs along the underside, creating a subtle ridge.</sentence>
<sentence>The surface is generally smooth, though minor irregularities in the bone are common.</sentence>
<sentence>Meat adheres to the bone, sometimes forming a thin, almost uniform layer, or thicker, more irregular patches.</sentence>
<sentence>The spacing between individual ribs is consistent, creating an organized, repetitive visual rhythm.</sentence>
<sentence>On a rack, the ribs are arranged in parallel, forming a cohesive, layered structure.</sentence>
<sentence>The curvature of each rib contributes to the overall wave-like appearance of the rack.</sentence>
<sentence>This arrangement of individual, curved bones creates a visually appealing and recognizable pattern.</sentence>",10
food,baby back ribs,"Use 10 sentences to describe the the shape of the baby back ribs:

    Your ouput should be in the following format:
    <sentence>sentence 1</sentence>
    <sentence>sentence 2</sentence>
    ...
    <sentence>sentence 10</sentence>","<sentence>Baby back ribs, when viewed in their entirety, form a curved, segmented rack.</sentence>
<sentence>Each individual rib is a long, slender bone.</sentence>
<sentence>These bones are gently arched, resembling a series of connected bows.</sentence>
<sentence>The meat clings to the bones, creating a plump, rounded surface.</sentence>
<sentence>The rack itself has a distinct crescent or semi-circular shape.</sentence>
<sentence>The outer edges of the rack are generally smoother, while the inner side reveals the bony structure.</sentence>
<sentence>When separated, individual ribs present a more linear, slightly bowed form.</sentence>
<sentence>The overall impression is one of organic, meaty curves.</sentence>
<sentence>They possess a natural, inviting plumpness due to the layers of muscle and fat.</sentence>
<sentence>The interconnectedness of the ribs creates a cohesive, yet distinctively jointed, structure.</sentence>",10
