dataset,class_name,prompt,content
CIFAR10,airplane,"Use 10 sentences to describe the what the airplane looks like:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The airplane was a magnificent sight, its sleek fuselage glinting under the bright sun.</sentence>
<sentence>Its wings, impossibly long and slender, stretched out like the powerful arms of a silent predator.</sentence>
<sentence>A vibrant blue livery adorned its body, accented by bold white lettering that promised adventure.</sentence>
<sentence>The cockpit windows, large and panoramic, offered a clear view of the instruments and the pilot's focused gaze.</sentence>
<sentence>Beneath the wings, robust landing gear, retracted for flight, hinted at the immense power required to lift this machine.</sentence>
<sentence>Turbine engines, nestled beneath each wing, were smooth, cylindrical behemoths, ready to unleash their thrust.</sentence>
<sentence>The tail, a classic vertical stabilizer with a smaller horizontal stabilizer, provided crucial stability in the air.</sentence>
<sentence>Tiny winglets at the tips of the wings curved upwards, a subtle yet important design element.</sentence>
<sentence>The overall impression was one of elegant engineering and immense capability.</sentence>
<sentence>It was a true marvel of modern technology, poised for its journey through the sky.</sentence>"
CIFAR10,airplane,"Use 10 sentences to describe the the appearance of the airplane:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The airplane was a sleek, silver marvel, its fuselage glinting under the midday sun.</sentence>
<sentence>Its wings, long and gracefully swept back, tapered to sharp, elegant tips.</sentence>
<sentence>Two powerful engines, encased in nacelles beneath each wing, promised immense speed and capability.</sentence>
<sentence>The cockpit windows, a dark, polished obsidian, offered a glimpse into the technologically advanced interior.</sentence>
<sentence>A slender vertical stabilizer, painted with bold, contrasting stripes, stood proudly at the tail.</sentence>
<sentence>Its landing gear, sturdy and retracted, hinted at the aircraft's ability to conquer vast distances.</sentence>
<sentence>The overall design exuded a sense of aerodynamic efficiency and cutting-edge engineering.</sentence>
<sentence>Tiny lights dotted the wings and fuselage, waiting to illuminate the night sky.</sentence>
<sentence>Even at rest, there was an undeniable presence about the machine, a quiet promise of adventure.</sentence>
<sentence>It was a picture of modern aviation, a testament to human ingenuity and the quest for flight.</sentence>"
CIFAR10,airplane,"Use 10 sentences to describe the the color of the airplane:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The airplane gleamed with a pristine, almost pearlescent white.</sentence>
<sentence>Its fuselage reflected the sunlight with a soft, polished sheen.</sentence>
<sentence>Subtle silver accents along the wings caught the light, adding a metallic shimmer.</sentence>
<sentence>Beneath, the landing gear was a deep, matte black, a stark contrast to the bright upper body.</sentence>
<sentence>Bold, crimson stripes ran along the fuselage, a vibrant slash against the white canvas.</sentence>
<sentence>The tail bore a stylized logo in vibrant shades of blue and gold, a touch of regal flair.</sentence>
<sentence>Even in shadow, the white maintained a luminous quality, never appearing dull.</sentence>
<sentence>The windows of the cockpit were tinted a dark, smoky gray, obscuring the interior.</sentence>
<sentence>A faint, almost imperceptible blue hue could be seen on the edges of the wings where the light hit at an angle.</sentence>
<sentence>Overall, the airplane presented a sophisticated and striking visual palette of white, silver, crimson, blue, and gold.</sentence>"
CIFAR10,airplane,"Use 10 sentences to describe the the pattern of the airplane:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The airplane's pattern is characterized by a series of graceful arcs etched against the sky.</sentence>
<sentence>These arcs suggest a deliberate and controlled flight path, not a random descent.</sentence>
<sentence>The pattern begins with a wide, sweeping turn, indicating a change in direction.</sentence>
<sentence>As the aircraft progresses, the arcs become tighter, hinting at a gradual reduction in altitude or speed.</sentence>
<sentence>There's a noticeable regularity in the spacing and curvature of the subsequent maneuvers.</sentence>
<sentence>The visual impression is one of a carefully choreographed dance in three dimensions.</line>
<sentence>The pattern might be indicative of maneuvers for a display or a specific approach sequence.</sentence>
<sentence>The consistent repetition of these curved lines creates a mesmerizing visual rhythm.</sentence>
<sentence>Each arc seamlessly transitions into the next, forming a continuous and flowing trajectory.</sentence>
<sentence>Ultimately, the airplane's pattern describes a beautiful and intentional journey through the atmosphere.</sentence>"
CIFAR10,airplane,"Use 10 sentences to describe the the shape of the airplane:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The airplane boasts a sleek, aerodynamic fuselage designed for efficient flight.</sentence>
<sentence>Its wings are long and slender, tapering towards the tips for optimal lift and reduced drag.</sentence>
<sentence>Each wing features a pronounced dihedral, giving it a slightly upward-angled appearance from the front.</sentence>
<sentence>The tail section is characterized by a traditional empennage, with a vertical stabilizer and horizontal stabilizers.</sentence>
<sentence>Beneath the fuselage, a sturdy landing gear system retracts neatly during flight.</sentence>
<sentence>The nose cone is pointed and smooth, seamlessly integrating into the forward section of the aircraft.</sentence>
<sentence>Engines are typically mounted on pylons under the wings or integrated into the rear fuselage.</sentence>
<sentence>Winglets, small vertical extensions at the wingtips, help to further improve efficiency.</sentence>
<sentence>The overall form is a study in curves and sharp edges, a testament to engineering and design.</sentence>
<sentence>From any angle, the airplane presents a refined and powerful silhouette, built for speed and distance.</sentence>"
CIFAR10,automobile,"Use 10 sentences to describe the what the automobile looks like:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The automobile gleamed under the showroom lights, its deeply polished crimson paint reflecting the stark white ceiling.</sentence>
<sentence>Its silhouette was sleek and aerodynamic, hinting at speed and performance.</sentence>
<sentence>Large, multi-spoke alloy wheels, finished in a dark, gunmetal gray, filled the wheel wells.</sentence>
<sentence>The front fascia was dominated by a wide, aggressive grille, flanked by sharp, angular LED headlights that seemed to pierce the air.</sentence>
<sentence>A gently sloping hood transitioned smoothly into the panoramic glass windshield, offering an unobstructed view ahead.</sentence>
<sentence>The side profile featured clean, unbroken lines from front to back, with a subtly rising beltline.</sentence>
<sentence>Recessed door handles lay flush with the bodywork, enhancing the car's smooth, uninterrupted flow.</sentence>
<sentence>At the rear, a spoiler integrated seamlessly into the trunk lid added a sporty accent.</sentence>
<sentence>Dual exhaust pipes, polished to a mirror finish, peeked out from beneath the sculpted rear bumper.</sentence>
<sentence>The overall impression was one of modern sophistication and powerful elegance.</sentence>"
CIFAR10,automobile,"Use 10 sentences to describe the the appearance of the automobile:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The automobile gleamed under the midday sun, its paint a deep, lustrous obsidian.</sentence>
<sentence>Its silhouette was undeniably sleek, a predatory curve that spoke of speed and agility.</sentence>
<sentence>The front grille, a bold statement of chrome, housed a series of horizontal bars that seemed to draw the eye inward.</sentence>
<sentence>Headlights, angular and piercing, were integrated seamlessly into the bodywork, hinting at advanced technology.</sentence>
<sentence>The wheels were large and intricately designed, with a polished metallic finish that reflected the sky.</sentence>
<sentence>A subtle spoiler, elegantly sculpted at the rear, added to its aerodynamic profile.</sentence>
<sentence>The windows were tinted to a near-opaque black, preserving an air of mystery within.</sentence>
<sentence>Chrome accents, judiciously placed, highlighted key design features without being ostentatious.</sentence>
<sentence>The overall impression was one of restrained power and sophisticated engineering.</sentence>
<sentence>It sat low to the ground, exuding a confident and commanding presence.</sentence>"
CIFAR10,automobile,"Use 10 sentences to describe the the color of the automobile:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The automobile shimmered with a deep, lustrous sapphire hue.</sentence>
<sentence>In direct sunlight, hints of amethyst seemed to peek through its polished surface.</sentence>
<sentence>Under the softer glow of twilight, the color deepened into an almost indigo shade.</sentence>
<sentence>Its paint possessed a remarkable clarity, reflecting the sky with startling brilliance.</sentence>
<sentence>There were no streaks or dull patches, only a uniform, captivating depth.</sentence>
<sentence>From every angle, the color shifted subtly, revealing new facets of its oceanic richness.</sentence>
<sentence>It wasn't a common blue; it possessed an exotic and sophisticated character.</sentence>
<sentence>The metallic flakes embedded within the paint caught the light, creating a mesmerizing, starry effect.</sentence>
<sentence>It evoked feelings of calm but also a sense of powerful, understated elegance.</sentence>
<sentence>This was a color that promised adventure and whispered of moonlit drives.</sentence>"
CIFAR10,automobile,"Use 10 sentences to describe the the pattern of the automobile:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The automobile's pattern is one of constant evolution and adaptation to societal needs.</sentence>
<sentence>Initially, early cars were simple, functional machines, reflecting the nascent automotive industry.</sentence>
<sentence>As technology advanced, the design became more streamlined and aerodynamic, emphasizing performance and efficiency.</sentence>
<sentence>The mid-20th century saw the rise of distinct styling cues, with fins and chrome becoming iconic features.</sentence>
<sentence>Safety regulations then introduced a new pattern, leading to more robust construction and standardized features.</sentence>
<sentence>The late 20th century and early 21st brought about a focus on fuel economy and environmental concerns, driving the development of hybrid and electric powertrains.</sentence>
<sentence>Digitalization has also profoundly impacted the pattern, integrating advanced electronics for navigation, entertainment, and driver assistance.</sentence>
<sentence>Today, the pattern is characterized by a push towards autonomy and connectivity, aiming to redefine the driving experience.</sentence>
<sentence>This ongoing pattern reflects a dynamic interplay between engineering innovation, consumer desires, and global challenges.</sentence>
<sentence>Ultimately, the automobile's pattern is a testament to human ingenuity and its continuous pursuit of better mobility.</sentence>"
CIFAR10,automobile,"Use 10 sentences to describe the the shape of the automobile:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The automobile possesses a sleek, aerodynamic silhouette designed to cleave through the air with minimal resistance.</sentence>
<sentence>Its bodywork flows smoothly from the elongated hood to the sculpted rear, creating a sense of dynamic motion even at rest.</sentence>
<sentence>The prominent grille at the front acts as a bold statement, often framed by sharp, intelligent-looking headlights.</sentence>
<sentence>Sweeping lines extend from the front fenders, merging seamlessly into the doors and rising towards the rear quarter panels.</sentence>
<sentence>A gently sloping roofline tapers towards the back, contributing to its sporty and aggressive stance.</sentence>
<sentence>The greenhouse, encompassing the windows, is carefully integrated to maintain the overall flowing form.</sentence>
<sentence>Large, often multi-spoke wheels are positioned strategically, emphasizing its grounded and purposeful presence.</sentence>
<sentence>The rear end typically features a defined trunk lid and intricate taillight designs that echo the front's aesthetic.</sentence>
<sentence>Curves and subtle creases are employed judiciously, adding depth and visual interest without disrupting the overall elegance.</sentence>
<sentence>From every angle, the shape conveys a blend of power, sophistication, and cutting-edge design.</sentence>"
