dataset,class_name,prompt,content
CIFAR10,airplane,"Use 10 sentences to describe the what the airplane looks like:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The airplane is a sleek, silver marvel of modern engineering.</sentence>
<sentence>Its long, slender fuselage glints under the sunlight, tapering to a sharp point at the nose.</sentence>
<sentence>Two massive, swept-back wings extend gracefully from its sides, housing powerful jet engines beneath them.</sentence>
<sentence>The wings are clean and aerodynamic, designed for efficient flight through the atmosphere.</sentence>
<sentence>A tall, vertical stabilizer rises from the tail, ensuring directional stability during flight.</sentence>
<sentence>Smaller horizontal stabilizers are also present at the rear, contributing to pitch control.</sentence>
<sentence>The windows along the fuselage are small and oval-shaped, hinting at the rows of seats within.</sentence>
<sentence>Landing gear, a series of sturdy wheels, is neatly tucked away during flight but ready to deploy.</sentence>
<sentence>The overall impression is one of speed, power, and an undeniable sense of purpose.</sentence>
<sentence>It stands as a testament to human ingenuity, poised for its journey across the vast expanse of the sky.</sentence>"
CIFAR10,airplane,"Use 10 sentences to describe the the appearance of the airplane:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The airplane was a sleek, silver marvel against the azure sky.</sentence>
<sentence>Its aerodynamic fuselage gleamed, reflecting the sunlight like a polished mirror.</sentence>
<sentence>Two powerful engines, mounted beneath broad, swept-back wings, promised speed and efficiency.</sentence>
<sentence>Sharp, pointed wingtips cut through the air, hinting at advanced design.</sentence>
<sentence>The cockpit windows, a dark, tinted band across the nose, gave the impression of watchful eyes.</sentence>
<sentence>A vertical stabilizer, tall and proud, stood at the rear, ensuring stability in flight.</sentence>
<sentence>Beneath the wings, landing gear was neatly retracted, contributing to its smooth profile.</sentence>
<sentence>Subtle airline branding was tastefully applied, adding a touch of corporate sophistication.</sentence>
<sentence>The overall impression was one of modern elegance and formidable potential.</sentence>
<sentence>It was a machine built for the heavens, boasting both beauty and engineering prowess.</sentence>"
CIFAR10,airplane,"Use 10 sentences to describe the the color of the airplane:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The airplane was a dazzling, pure white.</sentence>
<sentence>Its fuselage gleamed under the bright sun, reflecting the sky.</sentence>
<sentence>The wings were uniformly white, devoid of any markings or accents.</sentence>
<sentence>This stark whiteness gave it an almost ethereal quality against the blue backdrop.</sentence>
<sentence>It looked like a polished pearl ready to take flight.</sentence>
<sentence>There were no streaks or smudges, just a pristine expanse of white.</sentence>
<sentence>Even the tail section was a solid, unbroken block of white.</center>
<sentence>The absence of any other color made the sheer size of the plane more prominent.</sentence>
<sentence>It appeared clean and modern, a blank canvas against the world.</sentence>
<sentence>The brilliant white was so intense it almost seemed to glow.</sentence>"
CIFAR10,airplane,"Use 10 sentences to describe the the pattern of the airplane:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The airplane's pattern is characterized by its long, slender fuselage.</sentence>
<sentence>Its wings are swept back at a noticeable angle, contributing to its aerodynamic profile.</sentence>
<sentence>At the rear, a distinct tail fin rises vertically, providing stability.</sentence>
<sentence>Two horizontal stabilizers extend from the tail cone, further aiding in control.</sentence>
<sentence>The engines are typically mounted beneath the wings in nacelles.</sentence>
<sentence>The landing gear, when extended, forms a retractable tripod structure.</sentence>
<sentence>Along the wingspan, subtle winglets can be observed, designed to reduce drag.</sentence>
<sentence>The cockpit windows are a prominent feature at the very front of the aircraft.</sentence>
<sentence>There are often visible access panels and seams across the fuselage and wings.</sentence>
<sentence>Overall, the pattern suggests a focus on speed, efficiency, and stable flight.</sentence>"
CIFAR10,airplane,"Use 10 sentences to describe the the shape of the airplane:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The airplane possesses a sleek, aerodynamic fuselage that tapers towards the rear.</sentence>
<sentence>A sharp, pointed nose cone cuts through the air, designed for minimal drag.</sentence>
<sentence>Its wings are long and slender, often swept back slightly for increased speed.</sentence>
<sentence>Attached to the underside of the wings are powerful engines, typically housed in nacelles.</sentence>
<sentence>A vertical stabilizer, or tail fin, stands erect at the rear, providing directional stability.</sentence>
<sentence>Horizontal stabilizers, located on either side of the vertical fin, control pitch.</sentence>
<sentence>Small winglets might be present at the wingtips, reducing drag and improving fuel efficiency.</sentence>
<sentence>The cockpit windows are typically large and curved, offering pilots a wide field of vision.</sentence>
<sentence>Underneath, a sturdy landing gear, usually with multiple wheels, retracts into the fuselage during flight.</sentence>
<sentence>Overall, the airplane's form is a testament to engineering, optimized for rapid and efficient movement through the atmosphere.</sentence>"
CIFAR10,automobile,"Use 10 sentences to describe the what the automobile looks like:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The automobile gleamed under the sunlight, its polished obsidian paint reflecting the surrounding trees.</sentence>
<sentence>A sleek, aerodynamic silhouette characterized its design, hinting at both speed and grace.</sentence>
<sentence>The headlights, resembling sharp predatory eyes, were integrated seamlessly into the front fascia.</sentence>
<sentence>Beneath them, a prominent grille with intricate chrome detailing suggested a powerful engine within.</sentence>
<sentence>The body panels flowed with clean, unbroken lines, creating a sense of modern elegance.</sentence>
<sentence>Large, five-spoke alloy wheels with low-profile tires added a sporty and assertive stance.</sentence>
<sentence>The roofline sloped gently towards the rear, culminating in a subtly integrated spoiler.</sentence>
<sentence>Tinted windows provided a touch of privacy while maintaining the vehicle's sophisticated appearance.</sentence>
<sentence>The rear of the car featured distinctive LED taillights that extended across the width, giving it a bold presence.</sentence>
<sentence>Overall, the automobile presented a harmonious blend of aggressive styling and refined craftsmanship.</sentence>"
CIFAR10,automobile,"Use 10 sentences to describe the the appearance of the automobile:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The automobile gleamed under the midday sun, its polished obsidian paint reflecting the surrounding landscape like a dark mirror.</sentence>
<sentence>Sharp, angular lines defined its silhouette, giving it a modern and aggressive stance.</sentence>
<sentence>A wide, chrome grille dominated the front, flanked by piercing LED headlights that seemed to stare intently ahead.</sentence>
<sentence>The low-slung profile hinted at its performance capabilities, hugging the ground with a purposeful air.</sentence>
<sentence>Its wheels, large and intricately designed with a multi-spoke pattern, added a touch of athleticism.</sentence>
<sentence>Tinted windows offered a sense of privacy and mystery, obscuring the interior from view.</sentence>
<sentence>A subtle spoiler at the rear enhanced its aerodynamic profile and suggested speed.</sentence>
<sentence>The door handles were seamlessly integrated into the bodywork, contributing to the car's sleek, uninterrupted flow.</sentence>
<sentence>Taillights, a continuous band of red light, stretched across the rear, adding a distinctive signature at night.</sentence>
<sentence>Every curve and contour of the vehicle exuded a feeling of sophisticated power and understated luxury.</sentence>"
CIFAR10,automobile,"Use 10 sentences to describe the the color of the automobile:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The automobile gleamed under the midday sun, a deep, lustrous obsidian.</sentence>
<sentence>Its paint was the color of a moonless night, absorbing light rather than reflecting it.</sentence>
<sentence>Occasionally, a hint of subtle, almost imperceptible blue or purple would shimmer across its surface.</sentence>
<sentence>This wasn't a flat black, but a multifaceted hue that shifted with the angle of view.</sentence>
<sentence>It was the kind of black that felt substantial, like polished jet.</sentence>
<sentence>Against the bright sky, the car appeared as a sleek silhouette, a void of pure darkness.</sentence>
<sentence>The metallic flecks within the paint, when caught by direct light, created a starry effect.</sentence>
<sentence>It was a sophisticated and powerful color, exuding an air of understated luxury.</sentence>
<sentence>The depth of the color seemed to draw you in, promising mystery and elegance.</sentence>
<sentence>Overall, the automobile was a manifestation of the richest, most captivating black imaginable.</sentence>"
CIFAR10,automobile,"Use 10 sentences to describe the the pattern of the automobile:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The automobile exhibits a distinct pattern of aerodynamic curves that transition smoothly from the front fascia to the rear.</sentence>
<sentence>This flowing design often culminates in a sculpted rear end, sometimes featuring a gracefully integrated spoiler.</sentence>
<sentence>Lines are meticulously crafted to guide air efficiently over and around the vehicle, minimizing drag.</sentence>
<sentence>There's a recurring geometric symmetry, particularly noticeable in the opposing headlights and taillights.</sentence>
<sentence>The wheel wells present a circular motif, contrasting with the more linear or curved body panels.</sentence>
<sentence>A strong horizontal emphasis is frequently found in the grille and the line connecting the headlights.</line>
<sentence>Vertical elements, such as door handles or character lines, break up the overall horizontal flow and add definition.</sentence>
<sentence>The roofline often follows a descending arc, creating a sense of motion even when stationary.</sentence>
<sentence>Proportions are carefully balanced, with the cabin size relative to the overall length and width contributing to its visual appeal.</sentence>
<sentence>Overall, the pattern is one of purposeful, integrated styling that prioritizes both aesthetic beauty and functional performance.</sentence>"
CIFAR10,automobile,"Use 10 sentences to describe the the shape of the automobile:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The automobile possesses a sleek, aerodynamic silhouette designed to slice through the air with minimal resistance.</sentence>
<sentence>Its bodywork is characterized by smooth, flowing lines that seamlessly connect the various panels.</sentence>
<sentence>A prominent grille at the front hints at its powerful engine, often featuring a distinct brand motif.</sentence>
<sentence>The headlights are sculpted to integrate elegantly into the body, providing a piercing gaze.</sentence>
<sentence>The roofline tapers gracefully towards the rear, contributing to its sporty and dynamic appearance.</sentence>
<sentence>Wheel arches are pronounced, accentuating the size and perhaps the performance capabilities of the tires.</sentence>
<sentence>The doors typically feature flush handles, enhancing the uninterrupted flow of its design.</sentence>
<sentence>From the side, the car exhibits a balanced proportion between the cabin and the engine compartment.</sentence>
<sentence>The rear of the vehicle is often adorned with stylish taillights that echo the design language of the front.</sentence>
<sentence>Overall, the shape conveys a sense of speed, sophistication, and modern engineering.</sentence>"
