dataset,class_name,prompt,content
CIFAR10,airplane,"Use 10 sentences to describe the what the airplane looks like:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The airplane's fuselage was long and slender, tapering towards the tail.</sentence>
<sentence>Its wings were swept back, giving it a sleek and powerful appearance.</sentence>
<sentence>Two large jet engines were mounted beneath each wing, their openings dark and imposing.</sentence>
<sentence>The cockpit windows were a dark, reflective band across the front of the nose.</sentence>
<sentence>A tall, fin-like vertical stabilizer stood proudly at the rear.</sentence>
<sentence>The horizontal stabilizers stretched out on either side of the tail, small wings to aid stability.</sentence>
<sentence>Its metallic skin gleamed under the sunlight, reflecting the sky above.</sentence>
<sentence>Numerous smaller antennas and sensors dotted its surface, hinting at its advanced technology.</sentence>
<sentence>The landing gear, though retracted, was implied by its sleek underbelly, ready to deploy.</sentence>
<sentence>Overall, the airplane presented a formidable and elegant silhouette against the horizon.</sentence>"
CIFAR10,airplane,"Use 10 sentences to describe the the appearance of the airplane:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The airplane was a sleek marvel of modern engineering, its fuselage a polished silver that gleamed under the midday sun.</sentence>
<sentence>Its wings, wide and gracefully swept back, promised swift and stable flight.</sentence>
<sentence>Two powerful jet engines, mounted beneath each wing, were a deep, dark metallic gray, hinting at their immense capability.</sentence>
<sentence>The cockpit windows formed a dark, almost seamless, wrap-around shield at the front.</sentence>
<sentence>A sharp, pointed nose tapered the fuselage to a fine point, giving it an aerodynamic and determined look.</sentence>
<sentence>The tail section was a prominent vertical stabilizer, painted in bold stripes of blue and white.</sentence>
<sentence>Below, the landing gear was retracted, giving the aircraft a smooth underbelly.</sentence>
<sentence>Small, rectangular windows dotted the sides of the passenger cabin, hinting at the people within.</sentence>
<sentence>Even at rest, the plane exuded an aura of speed and anticipation.</sentence>
<sentence>The overall impression was one of streamlined power and elegant efficiency.</sentence>"
CIFAR10,airplane,"Use 10 sentences to describe the the color of the airplane:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The airplane gleamed under the midday sun, its fuselage a brilliant, almost blinding white.</sentence>
<sentence>This wasn't a dull, primer-coat white, but a vibrant, porcelain-like hue that spoke of careful maintenance.</sentence>
<sentence>Against the deep blue of the sky, the white of the aircraft stood out in stark contrast.</sentence>
<sentence>Occasionally, a subtle shimmer would ripple across its surface, suggesting a metallic undertone beneath the paint.</sentence>
<sentence>The wings, too, were bathed in this pristine white, creating a sense of purity and clean lines.</sentence>
<sentence>Even the landing gear, when extended, maintained the same unblemished white finish.</sentence>
<sentence>There were no bold markings or stripes, just an unbroken expanse of this striking color.</sentence>
<sentence>It was a color that conveyed a sense of speed and efficiency, a blank canvas ready for its journey.</sentence>
<sentence>The sunlight reflected off its smooth surfaces, giving the impression of a giant, polished pearl against the azure backdrop.</sentence>
<sentence>Overall, the airplane's color was an unadulterated, luminous white, a testament to its polished exterior.</sentence>"
CIFAR10,airplane,"Use 10 sentences to describe the the pattern of the airplane:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The airplane displays a striking pattern dominated by bold, contrasting colors.</sentence>
<sentence>A primary color, perhaps a deep navy blue, forms the base of the fuselage.</sentence>
<sentence>Against this dark backdrop, vibrant geometric shapes are strategically placed.</sentence>
<sentence>Sharp, angular lines, likely in a bright yellow or orange, cut across the wings and tail.</sentence>
<sentence>These geometric elements create a sense of speed and dynamism.</sentence>
<sentence>A secondary color, possibly a crisp white, outlines some of the larger shapes or highlights specific sections.</sentence>
<sentence>The pattern appears symmetrical, mirroring itself on either side of the aircraft.</sentence>
<sentence>The cockpit area might feature a distinct accent color or a stylized emblem.</sentence>
<sentence>The overall effect is modern and eye-catching, designed for high visibility.</sentence>
<sentence>This bold design ensures the airplane is easily recognizable against any sky.</sentence>"
CIFAR10,airplane,"Use 10 sentences to describe the the shape of the airplane:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The airplane possesses a long, slender fuselage that tapers towards the rear.</sentence>
<sentence>Its wings are broad and extend horizontally, providing lift for flight.</sentence>
<sentence>Each wing features a distinct airfoil shape, curved on top and flatter on the bottom.</sentence>
<sentence>Attached to the rear section of the fuselage is a vertical stabilizer, also known as the tail fin.</sentence>
<sentence>Beneath the tail fin, a horizontal stabilizer stretches across, aiding in pitch control.</sentence>
<sentence>Beneath the main wings, two engines are typically mounted, either under the wings or on pylons.</sentence>
<sentence>The nose of the airplane is often pointed or rounded, housing the cockpit and navigation equipment.</sentence>
<sentence>Landing gear, consisting of wheels, retracts into the body during flight.</sentence>
<sentence>The overall silhouette is aerodynamic, designed to minimize drag and maximize efficiency.</sentence>
<sentence>From above, the shape resembles a T or a delta, depending on the wing configuration.</sentence>"
CIFAR10,automobile,"Use 10 sentences to describe the what the automobile looks like:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The automobile gleamed under the afternoon sun, its metallic blue paint reflecting the surrounding trees.</sentence>
<sentence>Its sleek, aerodynamic profile suggested speed and efficiency.</sentence>
<sentence>The front grille, a series of horizontal chrome bars, gave it a determined, almost predatory, expression.</sentence>
<sentence>Large, almond-shaped headlights were integrated seamlessly into the bodywork.</sentence>
<sentence>The wheels, with their intricate spoke design, were a striking contrast to the smooth body.</sentence>
<sentence>A panoramic sunroof stretched across the roof, hinting at an airy interior.</sentence>
<sentence>The rear of the car featured sculpted taillights that wrapped elegantly around the corners.</sentence>
<sentence>Dual exhaust pipes peeked out from beneath the rear bumper, promising a powerful engine.</sentence>
<sentence>The doors featured flush door handles, enhancing the vehicle's minimalist aesthetic.</sentence>
<sentence>Overall, the automobile presented a sophisticated and modern design, both functional and aesthetically pleasing.</sentence>"
CIFAR10,automobile,"Use 10 sentences to describe the the appearance of the automobile:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The automobile gleamed under the bright showroom lights, its deep, obsidian black paint reflecting the surroundings like a polished mirror.</sentence>
<sentence>Its silhouette was low and aggressive, hinting at the performance lurking beneath the sculpted metal.</sentence>
<sentence>Sharp, angular lines flowed from the pointed nose to the swept-back rear, creating a sense of dynamic motion even at a standstill.</sentence>
<sentence>The headlights were narrow, almost predatory, with integrated LED daytime running lights giving it a piercing gaze.</sentence>
<sentence>Large, multi-spoke alloy wheels, finished in a matte grey, filled the wheel wells, suggesting a powerful stance.</sentence>
<sentence>The grille was a prominent feature, a wide, hexagonal opening with dark chrome accents that added to its imposing front.</sentence>
<sentence>Chrome trim elegantly framed the windows and highlighted the character lines along the doors, providing a touch of sophisticated contrast.</sentence>
<sentence>The roofline sloped dramatically towards the rear, culminating in a subtle, integrated spoiler that hinted at aerodynamic efficiency.</sentence>
<sentence>Hidden door handles lay flush with the bodywork, contributing to the car's remarkably clean and uncluttered profile.</sentence>
<sentence>Even the exhaust tips, cleverly integrated into the rear bumper trim, were polished to a high sheen, completing the picture of automotive excellence.</sentence>"
CIFAR10,automobile,"Use 10 sentences to describe the the color of the automobile:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The automobile gleamed under the midday sun, reflecting a deep, rich obsidian.</sentence>
<sentence>It was a black so profound it seemed to absorb the light around it.</sentence>
<sentence>In certain angles, subtle hints of indigo or midnight blue could be perceived, adding depth to the darkness.</sentence>
<sentence>The paint possessed a mirror-like finish, blurring the edges of its sleek form.</sentence>
<sentence>Each curve and contour of the car was accentuated by the velvety absence of vibrant hues.</sentence>
<sentence>When shadows fell upon it, the blackness intensified, becoming almost impenetrable.</sentence>
<sentence>This was not a flat, matte black, but one with a luminous quality that drew the eye.</sentence>
<sentence>The tires were a contrasting matte black, grounding the vehicle and emphasizing the car's painted surface.</sentence>
<sentence>Under streetlights, tiny flecks within the paint would occasionally catch the illumination, like distant stars in a night sky.</sentence>
<sentence>Overall, the automobile's color was a sophisticated and powerful statement of pure, unadulterated black.</sentence>"
CIFAR10,automobile,"Use 10 sentences to describe the the pattern of the automobile:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The automobile exhibits a streamlined, aerodynamic body, designed to minimize drag and enhance fuel efficiency.</sentence>
<sentence>Distinctive headlights, often with LED accents, define its front fascia and contribute to its modern aesthetic.</sentence>
<sentence>A prominent grille, typically a key brand identifier, sits centrally, hinting at the engine's power.</sentence>
<sentence>The side profile showcases elegant curves and strong character lines that flow from front to back.</sentence>
<sentence>Wheels, varying in size and design, complement the vehicle's overall stance and sporty or luxurious feel.</sentence>
<sentence>The rear of the car features taillights that often mirror the front design elements, creating visual cohesion.</sentence>
<sentence>A sunroof or panoramic glass roof is a common feature, adding natural light and an open-air sensation to the cabin.</sentence>
<sentence>Door handles are integrated smoothly into the bodywork, contributing to the sleek lines.</sentence>
<sentence>The overall pattern suggests a blend of form and function, where aesthetic appeal meets practical engineering.</sentence>
<sentence>From the subtle contours to the bold visual cues, the automobile's pattern is a testament to sophisticated design principles.</sentence>"
CIFAR10,automobile,"Use 10 sentences to describe the the shape of the automobile:

Your ouput should be in the following format:
<sentence>sentence 1</sentence>
<sentence>sentence 2</sentence>
...
<sentence>sentence 10</sentence>","<sentence>The automobile presents a sleek, aerodynamic silhouette, designed to cut through the air efficiently.</sentence>
<sentence>Its body panels flow seamlessly from front to back, creating a unified and muscular stance.</sentence>
<sentence>The front end is characterized by a prominent grille, often flanked by sharp, angular headlights that give it an aggressive gaze.</sentence>
<sentence>A gently sloping hood transitions smoothly into the windshield, which offers a wide, commanding view.</sentence>
<sentence>The profile reveals a sweeping roofline that tapers towards the rear, contributing to its dynamic appearance.</sentence>
<sentence>Wheel arches are pronounced, housing large wheels that fill the space and enhance its sporty proportions.</sentence>
<sentence>The rear of the vehicle typically features distinctive taillights that mirror the design language of the front.</sentence>
<sentence>A subtle spoiler might be integrated into the trunk lid, hinting at its performance capabilities.</sentence>
<sentence>The overall form suggests a blend of power and elegance, a carefully crafted piece of modern sculpture.</sentence>
<sentence>From every angle, the shape communicates speed, stability, and a sophisticated aesthetic.</sentence>"
